station_name,latitude,longitude,station_descriptive_name,red,blue,g,brn,p,pexp,y,pnk,o
Harlem,41.98227,-87.8089,Harlem (Blue Line - O'Hare Branch),False,True,False,False,False,False,False,False,False
Harlem,41.87349,-87.806961,Harlem (Blue Line - Forest Park Branch),False,True,False,False,False,False,False,False,False
Harlem/Lake,41.886848,-87.803176,Harlem/Lake (Green Line),False,False,True,False,False,False,False,False,False
Harold Washington Library-State/Van Buren,41.876862,-87.628196,"Harold Washington Library-State/Van Buren (Brown, Orange, Purple & Pink Lines)",False,False,False,False,False,True,False,True,True
Harrison,41.874039,-87.627479,Harrison (Red Line),True,False,False,False,False,False,False,False,False
Howard,42.019063,-87.672892,"Howard (Red, Purple & Yellow Lines)",False,False,False,False,True,True,True,False,False
Illinois Medical District,41.875706,-87.673932,Illinois Medical District (Blue Line),False,True,False,False,False,False,False,False,False
Indiana,41.821732,-87.621371,Indiana (Green Line),False,False,True,False,False,False,False,False,False
Irving Park,41.952925,-87.729229,Irving Park (Blue Line),False,True,False,False,False,False,False,False,False
Irving Park,41.954521,-87.674868,Irving Park (Brown Line),False,False,False,True,False,False,False,False,False
Jackson,41.878183,-87.629296,Jackson (Blue Line),False,True,False,False,False,False,False,False,False
Jackson,41.878153,-87.627596,Jackson (Red Line),True,False,False,False,False,False,False,False,False
Jarvis,42.015876,-87.669092,Jarvis (Red Line),True,False,False,False,False,False,False,False,False
Jefferson Park,41.970634,-87.760892,Jefferson Park (Blue Line),False,True,False,False,False,False,False,False,False
Kedzie,41.804236,-87.704406,Kedzie (Orange Line),False,False,False,False,False,False,False,False,True
Kedzie,41.853964,-87.705408,Kedzie (Pink Line),False,False,False,False,False,False,False,True,False
Kedzie,41.965996,-87.708821,Kedzie (Brown Line),False,False,False,True,False,False,False,False,False
Kedzie,41.884321,-87.706155,Kedzie (Green Line),False,False,True,False,False,False,False,False,False
Kedzie-Homan,41.874341,-87.70604,Kedzie-Homan (Blue Line),False,True,False,False,False,False,False,False,False
Kimball,41.967901,-87.713065,Kimball (Brown Line),False,False,False,True,False,False,False,False,False
King Drive,41.78013,-87.615546,King Drive (Green Line),False,False,True,False,False,False,False,False,False
Kostner,41.853751,-87.733258,Kostner (Pink Line),False,False,False,False,False,False,False,True,False
Lake,41.884809,-87.627813,Lake (Red Line),True,False,False,False,False,False,False,False,False
Laramie,41.887163,-87.754986,Laramie (Green Line),False,False,True,False,False,False,False,False,False
LaSalle,41.875568,-87.631722,LaSalle (Blue Line),False,True,False,False,False,False,False,False,False
LaSalle/Van Buren,41.8768,-87.631739,"LaSalle/Van Buren (Brown, Orange, Purple & Pink Lines)",False,False,False,False,False,True,False,True,True
Lawrence,41.969139,-87.658493,Lawrence (Red Line),True,False,False,False,False,False,False,False,False
Linden,42.073153,-87.69073,Linden (Purple Line),False,False,False,False,True,True,False,False,False
Logan Square,41.929728,-87.708541,Logan Square (Blue Line),False,True,False,False,False,False,False,False,False
Loyola,42.001073,-87.661061,Loyola (Red Line),True,False,False,False,False,False,False,False,False
Main,42.033456,-87.679538,Main (Purple Line),False,False,False,False,True,True,False,False,False
Merchandise Mart,41.888969,-87.633924,Merchandise Mart (Brown & Purple Lines),False,False,False,True,False,True,False,False,False
Midway,41.78661,-87.737875,Midway (Orange Line),False,False,False,False,False,False,False,False,True
Monroe,41.880703,-87.629378,Monroe (Blue Line),False,True,False,False,False,False,False,False,False
Monroe,41.880745,-87.627696,Monroe (Red Line),True,False,False,False,False,False,False,False,False
Montrose,41.961539,-87.743574,Montrose (Blue Line),False,True,False,False,False,False,False,False,False
Montrose,41.961756,-87.675047,Montrose (Brown Line),False,False,False,True,False,False,False,False,False
Morgan,41.885586,-87.652193,Morgan (Green & Pink Lines),False,False,True,False,False,False,False,True,False
Morse,42.008362,-87.665909,Morse (Red Line),True,False,False,False,False,False,False,False,False
North/Clybourn,41.910655,-87.649177,North/Clybourn (Red Line),True,False,False,False,False,False,False,False,False
Noyes,42.058282,-87.683337,Noyes (Purple Line),False,False,False,False,True,True,False,False,False
Oak Park,41.872108,-87.791602,Oak Park (Blue Line),False,True,False,False,False,False,False,False,False
Oak Park,41.886988,-87.793783,Oak Park (Green Line),False,False,True,False,False,False,False,False,False
Oakton-Skokie,42.02624348,-87.74722084,Oakton-Skokie (Yellow Line),False,False,False,False,False,False,True,False,False
O'Hare,41.97766526,-87.90422307,O'Hare (Blue Line),False,True,False,False,False,False,False,False,False
Paulina,41.943623,-87.670907,Paulina (Brown Line),False,False,False,True,False,False,False,False,False
Polk,41.871551,-87.66953,Polk (Pink Line),False,False,False,False,False,False,False,True,False
Pulaski,41.799756,-87.724493,Pulaski (Orange Line),False,False,False,False,False,False,False,False,True
Pulaski,41.853732,-87.724311,Pulaski (Pink Line),False,False,False,False,False,False,False,True,False
Pulaski,41.873797,-87.725663,Pulaski (Blue Line),False,True,False,False,False,False,False,False,False
Pulaski,41.885412,-87.725404,Pulaski (Green Line),False,False,True,False,False,False,False,False,False
Quincy/Wells,41.878723,-87.63374,"Quincy/Wells (Brown, Orange, Purple & Pink Lines)",False,False,False,False,False,True,False,True,True
Racine,41.87592,-87.659458,Racine (Blue Line),False,True,False,False,False,False,False,False,False
Ridgeland,41.887159,-87.783661,Ridgeland (Green Line),False,False,True,False,False,False,False,False,False
Rockwell,41.966115,-87.6941,Rockwell (Brown Line),False,False,False,True,False,False,False,False,False
Roosevelt,41.867405,-87.62659,"Roosevelt (Red, Orange & Green Lines)",False,False,True,False,False,False,False,False,True
Rosemont,41.983507,-87.859388,Rosemont (Blue Line),False,True,False,False,False,False,False,False,False
Sedgwick,41.910409,-87.639302,Sedgwick (Brown & Purple Lines),False,False,False,True,False,True,False,False,False
Sheridan,41.953775,-87.654929,Sheridan (Red Line),True,False,False,False,False,False,False,False,False
South Boulevard,42.027612,-87.678329,South Boulevard (Purple Line),False,False,False,False,True,True,False,False,False
Southport,41.943744,-87.663619,Southport (Brown Line),False,False,False,True,False,False,False,False,False
Sox-35th,41.831191,-87.630636,Sox-35th (Red Line),True,False,False,False,False,False,False,False,False
State/Lake,41.88574,-87.627835,"State/Lake (Brown, Green, Orange, Pink & Purple Lines)",False,False,True,False,False,True,False,True,True
